NAME,CLUB,LEAGUE,POSITION,TIER
Thiago,Bayern München,Germany 1. Bundesliga,CM,Gold
Mats Hummels,Borussia Dortmund,Germany 1. Bundesliga,CB,Gold
Fernandinho,Manchester City,England Premier League,CDM,Gold
Aymeric Laporte,Manchester City,England Premier League,CB,Gold
Bernardo Silva,Manchester City,England Premier League,RW,Gold
Dries Mertens,Napoli,Italy Serie A,CF,Gold
Lorenzo Insigne,Napoli,Italy Serie A,CF,Gold
Thiago Silva,Paris Saint-Germain,France Ligue 1,CB,Gold
Karim Benzema,Real Madrid,Spain Primera Division,CF,Gold
Casemiro,Real Madrid,Spain Primera Division,CDM,Gold
Jan Vertonghen,Tottenham Hotspur,England Premier League,CB,Gold
Toby Alderweireld,Tottenham Hotspur,England Premier League,CB,Gold
Heung Min Son,Tottenham Hotspur,England Premier League,CF,Gold
Coutinho,Bayern München,Germany 1. Bundesliga,CAM,Gold
Coutinho,Bayern München,Germany 1. Bundesliga,LW,Gold
Javier Zanetti,Icons,Icons,LB,Gold
Alan Shearer,Icons,Icons,ST,Gold
Emilio Butragueño,Icons,Icons,ST,Gold
Fabio Cannavaro,Icons,Icons,CB,Gold
Thierry Henry,Icons,Icons,LW,Gold
Paul Scholes,Icons,Icons,CM,Gold
Ryan Giggs,Icons,Icons,LM,Gold
Hristo Stoichkov,Icons,Icons,ST,Gold
Gennaro Gattuso,Icons,Icons,CDM,Gold
Sócrates,Icons,Icons,CAM,Gold
Sol Campbell,Icons,Icons,CB,Gold
Jay-Jay Okocha,Icons,Icons,RM,Gold
Henrik Larsson,Icons,Icons,ST,Gold
Filippo Inzaghi,Icons,Icons,ST,Gold
Luis Hernández,Icons,Icons,ST,Gold
Marcel Desailly,Icons,Icons,CB,Gold
Deco,Icons,Icons,CAM,Gold
Hernán Crespo,Icons,Icons,ST,Gold
Bobby Moore,Icons,Icons,CB,Gold
Claude Makélélé,Icons,Icons,CDM,Gold
Gary Lineker,Icons,Icons,ST,Gold
Rivaldo,Icons,Icons,CAM,Gold
Miroslav Klose,Icons,Icons,ST,Gold
Alessandro Del Piero,Icons,Icons,CF,Gold
Dennis Bergkamp,Icons,Icons,CF,Gold
Gianluca Zambrotta,Icons,Icons,LB,Gold
Guardiola,Icons,Icons,CDM,Gold
Ian Wright,Icons,Icons,ST,Gold
Ian Rush,Icons,Icons,ST,Gold
